,id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
0,18674,Huge flat for 8 people close to Sagrada Familia,71615.0,1.462508358342835e+18,Maria Y Mireia Barcelona4Seasons,Eixample,la Sagrada Família,41.40556,2.17262,Entire home/apt,409.0,1.0,59,2026-05-28,0.37,20.0,123,9,Spain - National registration number<br />ESFCTU000008058000039706000000000000000HUTB-002062349<br /><br />Barcelona - Regional registration number<br />HUTB-002062
1,23197,CCIB Forum· Large Balcony · 5 min walk to CCIB,90417.0,1.4625093514635958e+18,Marnie,Sant Martí,el Besòs i el Maresme,41.41243172529066,2.219750335269476,Entire home/apt,388.0,2.0,99,2026-06-07,0.53,1.0,239,11,Spain - National registration number<br />ESFCTU000008106000547360000000000000000000HUTB0050572<br /><br />Barcelona - Regional registration number<br />HUTB-005057
2,34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163.0,1.4625084472041472e+18,Andres,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,397.0,1.0,304,2026-05-26,1.59,2.0,329,37,Spain - National registration number<br />ESFCTU000008119000093652000000000000000HUTB-001506712<br /><br />Barcelona - Regional registration number<br />HUTB-150671
3,36763,In front of the beach,158596.0,1.4625112385266627e+18,Ester,Ciutat Vella,la Barceloneta,41.38037,2.19272,Private room,43.0,31.0,108,2023-12-13,0.6,1.0,38,0,
4,40983,Architect's Loft near Gaudí & Passeig de Gràcia,177617.0,1.4625118223884593e+18,Joaquin,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,226.0,1.0,450,2026-06-19,2.46,5.0,289,56,Barcelona - Regional registration number<br />HUTB-001282<br /><br />Spain - National registration number<br />ESFCTU00000805400028019300000000000000000HUTB-0012821
126,569610,Pl España  / Sants Station / Perfect Remote Work,2700806.0,1.46260527073925e+18,Andres,Sants-Montjuïc,Sants,41.37518,2.14026,Entire home/apt,235.0,5.0,58,2026-06-14,0.34,1.0,43,5,Barcelona - Regional registration number<br />HUTB-009546<br /><br />Spain - National registration number<br />ESFCTU00000805600184950800000000000000000HUTB-0095460
210,775644,Stylish Apt w/Terrace | City Center,177617.0,1.4625118223884593e+18,Joaquin,Eixample,la Nova Esquerra de l'Eixample,41.38102722167969,2.1521859169006348,Entire home/apt,179.0,1.0,476,2026-06-14,2.93,5.0,296,64,Barcelona - Regional registration number<br />HUTB-009094<br /><br />Spain - National registration number<br />ESFCTU00000806700009513100000000000000000HUTB-0090942
282,934979,Sagrada Familia charming,5044674.0,1.4626715067265882e+18,Ester,Eixample,la Sagrada Família,41.40058253081561,2.175098624868285,Entire home/apt,326.0,2.0,701,2026-06-20,4.32,1.0,142,70,Spain - National registration number<br />ESFCTU000008073000319047000000000000000000HUTB0052509<br /><br />Barcelona - Regional registration number<br />HUTB-005250
373,1119598,Flat with views to Sagrada Famila,71615.0,1.462508358342835e+18,Maria Y Mireia Barcelona4Seasons,Eixample,la Sagrada Família,41.40457,2.17215,Entire home/apt,405.0,3.0,269,2026-06-22,1.88,20.0,136,23,Spain - National registration number<br />ESFCTU00000807300039912400000000000000HUTB-002113-206<br /><br />Barcelona - Regional registration number<br />HUTB-002113
669,2288221,Elegant apartment in the heart of the city,71615.0,1.462508358342835e+18,Maria Y Mireia Barcelona4Seasons,Eixample,Sant Antoni,41.37721,2.16429,Entire home/apt,375.0,1.0,293,2026-04-22,1.97,20.0,128,21,Spain - National registration number<br />ESFCTU00000806900041279600000000000000000HUTB-0071608<br /><br />Barcelona - Regional registration number<br />HUTB-007160
