,id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
200,753322,Big beautiful apartment in Gracia 4 rooms,3962572.0,1.462643726726385e+18,Magda,Gràcia,la Vila de Gràcia,41.39942,2.15618,Entire home/apt,369.0,4.0,251,2026-06-08,1.55,2.0,297,14,Barcelona - Regional registration number<br />HUTB-000641<br /><br />Spain - National registration number<br />ESFCTU00000806600032205600000000000000000HUTB-0006415
400,1198074,Two bedroom apartment,6544866.0,1.4627091683517343e+18,Juan,Eixample,la Dreta de l'Eixample,41.39196,2.17377,Entire home/apt,240.0,1.0,125,2026-06-17,1.0,12.0,257,28,Barcelona - Regional registration number<br />HUTB-005596<br /><br />Spain - National registration number<br />ESFCTU00000805400054179900000000000000000000000055965
600,1920941,Luxurious & Loving Apartment,9935841.0,1.4628274460483297e+18,Sheila,Les Corts,les Corts,41.38421,2.13856,Entire home/apt,310.0,4.0,99,2026-06-07,0.65,1.0,340,15,Barcelona - Regional registration number<br />HUTB-006897<br /><br />Spain - National registration number<br />ESFCTU00000805600001846200000000000000000HUTB-0068972
800,2996993,Large two bedroom apartment,6544866.0,1.4627091683517343e+18,Juan,Eixample,la Dreta de l'Eixample,41.39196,2.17373,Entire home/apt,370.0,1.0,73,2026-06-02,0.5,12.0,233,13,Barcelona - Regional registration number<br />HUTB-010720<br /><br />Spain - National registration number<br />ESLLLL00000805400054176800000000000000HUTB01072089400
1000,4114081,Barcelona | Apt near Sagrada Familia for 6,299462.0,1.4625110383608072e+18,Stay Unique,Eixample,la Dreta de l'Eixample,41.40192031860352,2.1707611083984375,Entire home/apt,444.0,1.0,339,2026-06-09,2.38,140.0,340,26,Spain - National registration number<br />ESFCTU00000807300028497000000000000000000HUTB-0047685<br /><br />Barcelona - Regional registration number<br />HUTB-002414
1200,5718505,DIAMOND PENTHOUSE -- SEA VIEWS,29648516.0,1.4654362482065505e+18,Pretty,Eixample,l'Antiga Esquerra de l'Eixample,41.38505,2.16185,Entire home/apt,337.0,1.0,128,2026-04-22,0.94,1.0,335,4,
1400,7600385,Your chic home in Barcelona! (Deep ozone cleaning),857784.0,1.4625314946203277e+18,Lucía,Eixample,Sant Antoni,41.3769,2.16002,Entire home/apt,,1.0,127,2022-07-25,0.96,1.0,0,0,Barcelona - Regional registration number<br />HUTB-001524
1600,9997240,Cozy Studio at Plaza Catalunya,3479346.0,1.4626305195678554e+18,Ewa & Pau,Ciutat Vella,el Barri Gòtic,41.38613,2.17164,Entire home/apt,69.0,31.0,189,2026-05-27,1.49,15.0,234,3,Spain - National registration number<br />ESFCNT00A20805400008245200000000000000000000000000000<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
1800,12567485,UNIQUE PASEO DE GRACIA CASA BATLLÓ,58054871.0,1.4666958494259254e+18,Pilar Y Javier,Eixample,la Dreta de l'Eixample,41.39092,2.16504,Entire home/apt,1358.0,3.0,126,2026-04-19,1.03,1.0,342,16,Spain - National registration number<br />ESFCTU00000805400023822400000000000000000HUTB-0084116<br /><br />Barcelona - Regional registration number<br />HUTB008411
2000,14052915,Beautiful new loft in the heart of el BORN,27273342.0,1.4654026734123013e+18,Silvia,Ciutat Vella,el Barri Gòtic,41.38182,2.18116,Entire home/apt,61.0,31.0,41,2026-03-31,0.34,2.0,53,6,Spain - National registration number<br />ESFCNT00000811900020822300000000000000000000000000005<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
2200,16563363,Lujoso piso en el centro para alquiler Temporal,36127665.0,1.4655366067670973e+18,Aitor,Ciutat Vella,el Raval,41.37897,2.16409,Entire home/apt,66.0,31.0,366,2026-05-18,3.26,1.0,221,5,Spain - National registration number<br />ESFCNT00000805600040457900000000000000000000000000007<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
2400,18443653,AB Marina Apartment  V-III,4459553.0,1.4625356972083244e+18,AB Apartment Barcelona,Eixample,el Fort Pienc,41.39908,2.17992,Entire home/apt,426.0,1.0,167,2026-06-15,1.52,243.0,321,21,Barcelona - Regional registration number<br />HUTB-011552<br /><br />Spain - National registration number<br />ESHFTU00000807300041061402300000000000000000000115524
2600,19846038,Enchanting Apartment close to Passeig de Gracia,1432835.0,1.4625456639709e+18,Ángel,Eixample,l'Antiga Esquerra de l'Eixample,41.38953,2.15806,Entire home/apt,274.0,1.0,406,2026-06-19,3.75,43.0,152,48,Spain - National registration number<br />ESFCTU00000805600085582100000000000000000HUTB-0090179<br /><br />Barcelona - Regional registration number<br />HUTB-009017
2800,21507995,"Comfortable 3 BDR apartment, perfect lacation",2379410.0,1.4625935236072632e+18,Lilia,Sant Martí,el Poblenou,41.40178,2.20608,Entire home/apt,193.0,31.0,3,2025-02-28,0.03,2.0,268,0,Barcelona - Regional registration number<br />Exempt - seasonal rental<br /><br />Spain - National registration number<br />ESFCNT00000807200048510300000000000000000000000000007
